metal,protocol,seed,MAPE_mid,R2
Pb,C_trainonly,34,77.43456490094314,0.9758878150047288
Cd,A_clean,101,39.259238549494,0.95958362853724
Cd,B_noisy,101,18.32751373872979,0.9524622979642484
Cd,C_trainonly,101,606.2137912627643,0.16021136296972227
Pb,A_clean,101,10.430272325619587,0.9853087795207767
Pb,B_noisy,101,9.235547719354521,0.9855896703751683
Pb,C_trainonly,101,92.0076320456655,0.9722677507208735
Cd,A_clean,202,55.85562852761786,0.9509452809886474
Cd,B_noisy,202,19.67145278531794,0.9653403389755612
Cd,C_trainonly,202,744.1802038732242,-0.4921039368714073
Pb,A_clean,202,10.485528376924051,0.9875501528756264
Pb,B_noisy,202,9.43785954633216,0.986921245783857
Pb,C_trainonly,202,67.45513329477687,0.9764370060268499
Cd,A_clean,303,43.24687407500118,0.9607413720046947
Cd,B_noisy,303,13.79078759691295,0.9757706995135403
Cd,C_trainonly,303,698.2006470735898,-0.10970427472697342
Pb,A_clean,303,10.367996123421698,0.9845776612542217
Pb,B_noisy,303,10.857572779676197,0.9838158478186608
Pb,C_trainonly,303,90.36298531043909,0.9723986644357918
Cd,A_clean,404,50.79949744354808,0.9521857019767682
Cd,B_noisy,404,27.52591736965822,0.9636058332384934
Cd,C_trainonly,404,613.01245259916,-0.018585404974561293
Pb,A_clean,404,9.943463869702866,0.9870266434144831
Pb,B_noisy,404,9.80146972384465,0.9866694834313804
Pb,C_trainonly,404,75.28947621258891,0.97584447450598
Cd,A_clean,505,32.903394067083205,0.953105242462729
Cd,B_noisy,505,20.342884074395208,0.9762834318341638
Cd,C_trainonly,505,576.4496675167974,0.23027138579253636
Pb,A_clean,505,9.776470594252698,0.988249100445986
Pb,B_noisy,505,8.878063515982452,0.9882744708964859
Pb,C_trainonly,505,84.28953499450067,0.9763369273888919
Cd,A_clean,606,37.85319805612663,0.9636812854004614
Cd,B_noisy,606,18.5755784154856,0.9489573824184008
Cd,C_trainonly,606,698.4357685343474,-0.004242233727060896
Pb,A_clean,606,9.993862635491286,0.9878223324706986
Pb,B_noisy,606,9.497758571251088,0.9879956444357956
Pb,C_trainonly,606,58.39440365005053,0.9814793029919536
Cd,A_clean,808,39.50764107600504,0.9655977852403568
Cd,B_noisy,808,22.725853231330422,0.9688230554740807
Cd,C_trainonly,808,608.0990066882047,0.1016530560181379
Pb,A_clean,808,9.80590050438904,0.9867514638118825
Pb,B_noisy,808,8.734180718925646,0.9874294904118537
Pb,C_trainonly,808,63.372274289785665,0.97862274768912
